ID,Date,Total Loss
567,12/8/2007 0:00,3000
568,10/24/2016 0:00,0
569,7/17/2009 0:00,1500
570,3/23/2010 0:00,1500
571,2/8/2012 0:00,1500
572,10/25/2009 0:00,18500
573,7/4/2005 0:00,82200
574,8/30/2007 0:00,15000
575,12/7/2014 0:00,400
576,8/20/2009 0:00,156000
577,2/2/2010 0:00,2000
578,11/23/2014 0:00,11400
579,5/8/2015 0:00,0
580,12/31/2010 0:00,30000
581,10/11/2011 0:00,700
582,4/20/2007 0:00,34250
583,8/30/2008 0:00,91750
584,2/10/2014 0:00,5000
585,10/8/2009 0:00,26000
586,11/7/2008 0:00,91000
587,2/15/2016 0:00,250
588,3/20/2015 0:00,100
589,6/4/2012 0:00,30000
590,7/23/2012 0:00,16000
591,11/25/2016 0:00,146400
592,2/28/2007 0:00,0
593,6/7/2014 0:00,18550
594,9/19/2008 0:00,22600
595,3/4/2009 0:00,17300
596,8/7/2005 0:00,10625
597,6/8/2007 0:00,2700
598,9/15/2014 0:00,800
599,6/23/2013 0:00,1000
600,11/15/2005 0:00,18150
601,1/10/2007 0:00,750
602,4/22/2009 0:00,1000
603,7/26/2014 0:00,21000
604,7/31/2009 0:00,80000
605,9/22/2010 0:00,92500
606,3/3/2015 0:00,6000
607,7/24/2005 0:00,4000
608,3/30/2006 0:00,200
609,12/4/2006 0:00,9100
610,10/31/2012 0:00,16000
611,7/7/2013 0:00,8000
612,2/25/2012 0:00,0
613,1/16/2010 0:00,16500
614,8/15/2014 0:00,5000
615,9/16/2007 0:00,20300
616,4/14/2012 0:00,121000
617,5/22/2008 0:00,300
618,12/19/2012 0:00,0
619,1/19/2012 0:00,15000
620,6/30/2009 0:00,15000
621,10/7/2016 0:00,8000
622,3/27/2011 0:00,115000
623,6/29/2016 0:00,0
624,10/24/2015 0:00,43500
625,12/1/2011 0:00,2410
626,2/1/2016 0:00,0
627,8/23/2011 0:00,0
628,7/5/2011 0:00,4000
629,1/24/2007 0:00,1500
630,3/21/2016 0:00,118000
631,2/9/2006 0:00,0
632,10/16/2006 0:00,101025
633,9/8/2010 0:00,15250
634,5/15/2011 0:00,26505
635,12/17/2010 0:00,0
636,7/8/2006 0:00,7450
637,5/20/2006 0:00,95500
638,10/15/2013 0:00,400
639,4/26/2010 0:00,3000
640,9/1/2014 0:00,12000
641,7/30/2015 0:00,2350
642,3/24/2011 0:00,6000
643,9/29/2006 0:00,1000
644,10/14/2012 0:00,0
645,11/1/2005 0:00,6800
646,2/8/2013 0:00,0
647,7/14/2009 0:00,300
648,5/11/2016 0:00,0
649,11/27/2010 0:00,9900
650,8/16/2008 0:00,0
651,12/27/2014 0:00,0
652,11/24/2015 0:00,0
653,12/30/2009 0:00,500
654,1/19/2005 0:00,16000
655,3/17/2007 0:00,0
656,4/28/2012 0:00,1250
657,6/24/2014 0:00,1000
658,6/1/2011 0:00,105000
659,7/27/2013 0:00,6150
660,2/12/2008 0:00,2850
661,11/4/2007 0:00,25000
662,4/18/2013 0:00,22500
663,1/15/2016 0:00,4700
664,4/29/2005 0:00,0
665,11/8/2009 0:00,5500
666,2/26/2006 0:00,22000
667,12/29/2016 0:00,5000
668,11/24/2008 0:00,6000
669,9/21/2009 0:00,1400
670,1/7/2007 0:00,0
671,11/19/2013 0:00,0
672,8/13/2013 0:00,4700
673,2/29/2008 0:00,146500
